accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_benign,recall_benign,f1_benign,macro_f1,FAR,MCC,TP,FP,FN,TN,roc_auc,pr_auc,fold,train_time_s,inference_us_per_flow,throughput_flows_s
0.9786949247071947,0.9803873998419347,0.9309123117803366,0.9836218998596162,0.9565415244596132,0.9947815714924706,0.9771528998242531,0.9858884373845586,0.9712149809220858,0.022847100175746926,0.9430712355225422,2102,156,35,6672,0.9945999489015337,0.9747114056972153,0,26.393953475999297,25.2137011713584,39660.97611785586
0.9766871165644172,0.9774650136618442,0.9273371732388126,0.9789522918615529,0.9524459613196815,0.9932915921288015,0.9759777354621356,0.9845585519024751,0.9685022566110784,0.024022264537864362,0.9376225530923781,2093,164,45,6663,0.9938791635533976,0.9729387569400993,1,28.273107670998797,28.76729737857103,34761.6943934715
0.9756832124930285,0.9758421172850933,0.9259094942324756,0.9761459307764265,0.9503642987249544,0.9924005364327224,0.97553830379376,0.983897178312897,0.9671307385189257,0.02446169620623993,0.9348482115465234,2087,167,51,6660,0.9934370941988306,0.9709204225533439,2,28.239237104000495,25.447403904068704,39296.73941474687
0.9754573850959393,0.9787440095648188,0.9180113388573921,0.9850257370145064,0.9503386004514672,0.9952031179733174,0.9724622821151311,0.9837012890798636,0.9670199447656654,0.027537717884868904,0.935089247778726,2105,188,32,6639,0.994030453416576,0.9739002640736931,3,25.61326237800131,48.019749107600944,20824.76519731987
0.9770191878625614,0.9773583364080756,0.9293019119608715,0.9780065512400562,0.9530323757409941,0.9930007446016381,0.9767101215760949,0.9847880667552799,0.968910221248137,0.02328987842390508,0.9383697158385156,2090,159,47,6668,0.9940288426469291,0.9728657110719172,4,26.510244552000586,24.21519991077421,41296.37598222199
0.9770217512548801,0.9791282365902849,0.9251431087626596,0.9831539541413196,0.9532667876588021,0.9946220495966537,0.9751025190392502,0.9847655672237835,0.9690161774412929,0.024897480960749854,0.9388135687151969,2101,170,36,6658,0.9934948486221644,0.9703510266219667,5,27.702485317000537,25.91398293371907,38589.20500788043
0.9760178471834914,0.9783105804923854,0.9218955682316805,0.9826941066417212,0.9513244283450306,0.9944660484594675,0.9739270543430496,0.9840893953970251,0.9677069118710279,0.026072945656950345,0.9362750203017101,2101,178,37,6649,0.9934972814019282,0.9697775063657907,6,26.95107906300109,36.56596910203822,27347.832549151808
0.9745677635248188,0.9757522304205923,0.9203345070422535,0.9780168381665107,0.9482993197278912,0.9929777379351561,0.973487622674674,0.9831360946745562,0.9657177072012237,0.026512377325325912,0.9322127843131536,2091,181,47,6646,0.9934200006220829,0.9709298500503386,7,25.084827411999868,26.387923591630898,37896.12307037135
0.9772423025435074,0.9768618766398578,0.9316659222867352,0.9761347683668694,0.953382084095064,0.9924163568773234,0.9775889849128461,0.9849468713105076,0.9691644777027858,0.022411015087153947,0.9387860350599703,2086,153,51,6674,0.9949827609948908,0.9788416513473899,8,27.78335759699985,25.77463900041612,38797.827584854065
0.9779116465863453,0.9782657137947478,0.93184855233853,0.9789424426766495,0.9548151528982199,0.9933025747879148,0.9775889849128461,0.9853831389340026,0.9700991459161112,0.022411015087153947,0.9407104381085017,2092,153,45,6674,0.9942066441986007,0.9730335843038631,9,27.247928501999922,26.55690272192533,37654.993523563346
0.9776910206358059,0.9784423890835693,0.9302532207907597,0.9798783341132429,0.9544211485870556,0.993595472147751,0.9770064440538957,0.9852311327721164,0.9698261406795861,0.022993555946104277,0.9402216502519326,2094,157,43,6671,0.9945334715513949,0.9750166580056343,10,25.877814047000356,44.966078862141494,22238.98603802732
0.9761293920803124,0.9775806950419583,0.9241622574955908,0.980355472404116,0.9514298683613255,0.9937285351649993,0.9748059176798007,0.9841762792073351,0.9678030737843303,0.02519408232019921,0.9363406674191384,2096,172,42,6655,0.99378567984409,0.9717614915384652,11,26.84892342800049,24.106582152793298,41482.44631535737
0.977244841048522,0.9792768300301052,0.9259911894273127,0.9831618334892422,0.9537205081669692,0.9946228528752801,0.9753918265709682,0.9849134743381157,0.9693169912525424,0.024608173429031786,0.9393923353700391,2102,168,36,6659,0.9944008088173534,0.9766720736581499,12,27.632160774999647,25.942137423359696,38547.32490544693
0.9763498438197233,0.9772403732352049,0.9260734838424082,0.9789424426766495,0.9517743403093721,0.9932885906040269,0.97553830379376,0.9843334318652084,0.9680538860872903,0.02446169620623993,0.9367568516398572,2092,167,45,6660,0.9934339888434668,0.9710490217429839,13,27.276034553999125,24.217927264606104,41291.72530225058
0.9781347612672914,0.9803410019905685,0.9280988089986767,0.9845577912962097,0.9554950045413261,0.9950724204867851,0.9761242126849274,0.9855072463768116,0.9705011254590689,0.023875787315072505,0.9417398721302097,2104,163,33,6664,0.9947014931971715,0.976770088992205,14,25.10770045299978,25.799018295263373,38761.1648069414
