dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
UNSW,RF,0.9156 ± 0.0025,0.9154 ± 0.0025,0.9140 ± 0.0036,0.9100 ± 0.0037,0.9120 ± 0.0026,0.9154 ± 0.0025,0.0793 ± 0.0037,0.8309 ± 0.0049,0.9801 ± 0.0009,0.9790 ± 0.0009
UNSW,XGB,0.9193 ± 0.0020,0.9188 ± 0.0020,0.9230 ± 0.0035,0.9077 ± 0.0044,0.9153 ± 0.0022,0.9191 ± 0.0020,0.0701 ± 0.0036,0.8383 ± 0.0040,0.9818 ± 0.0007,0.9812 ± 0.0008
UNSW,DT,0.8923 ± 0.0017,0.8922 ± 0.0017,0.8884 ± 0.0031,0.8874 ± 0.0042,0.8879 ± 0.0019,0.8922 ± 0.0017,0.1031 ± 0.0035,0.7844 ± 0.0034,0.8922 ± 0.0018,0.8425 ± 0.0024
