dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E1_CIC,RF,26.8361 ± 1.0509,29.1930 ± 7.6643,35896.5453 ± 6767.8205
E1_CIC,XGB,6.4521 ± 1.7859,9.5279 ± 2.5582,110401.2219 ± 22298.4905
E1_CIC,DT,1.4925 ± 0.2649,1.7584 ± 0.2372,578393.5817 ± 77437.1173
