accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_benign,recall_benign,f1_benign,macro_f1,FAR,MCC,TP,FP,FN,TN,roc_auc,pr_auc,fold,train_time_s,inference_us_per_flow,throughput_flows_s
0.9787800129785853,0.9820485446656417,0.9274584929757343,0.9882961350027218,0.9569113190143629,0.9962592431491953,0.9758009543285617,0.9859239808876071,0.971417649950985,0.02419904567143831,0.9436914648134355,3631,284,43,11452,0.9946348472417501,0.9780448123312426,0,10.196425731999625,7.669660674933987,130383.86473448607
0.9781310837118754,0.9810615801303139,0.9263991822131357,0.9866630375612412,0.955581916436009,0.9957380186135514,0.9754601226993865,0.9854947703697327,0.9705383434028708,0.024539877300613498,0.9419180207710548,3625,288,49,11448,0.9944477098971791,0.9756017672216982,1,6.851912846999767,7.182326281626171,139230.65602828434
0.9797534068786502,0.9807243664743389,0.935717988595127,0.9825802939575394,0.9585767392458843,0.9944598337950139,0.9788684389911384,0.9866025420817588,0.9725896406638215,0.021131561008861623,0.9456840321978379,3610,248,64,11488,0.995370675733493,0.9817096168420546,2,10.185758781999539,7.3014966904850205,136958.22136071837
0.9785853341985724,0.9806119078073636,0.9298200514138818,0.9844855743059336,0.9563722897937599,0.9950520833333333,0.9767382413087935,0.9858101135190919,0.9710912016564259,0.023261758691206544,0.9428728028305069,3617,273,57,11463,0.9943864478702011,0.9748067237625639,3,7.112338025001009,13.709807008468832,72940.4870092102
0.9799467843468103,0.9816926436857857,0.9344177640072295,0.9850299401197605,0.9590565787730224,0.9952323162274619,0.9783553472518108,0.9867216707490009,0.9728891247610116,0.021644652748189178,0.9463673756538222,3619,254,55,11481,0.9956609034709758,0.9830219836253553,4,9.441061683999578,7.353701797597438,135985.9330067905
0.9810512654120701,0.9839136330425224,0.9349279835390947,0.9893848666303756,0.961385876752182,0.9966151709772609,0.9784423994546694,0.9874451801530656,0.9744155284526238,0.021557600545330607,0.9495119085487044,3635,253,39,11483,0.9951440885657574,0.9802337922856817,5,10.422295116999521,7.321750746310449,136579.35576459178
0.9802076573653472,0.9826118816466343,0.9335907335907336,0.9872074033750681,0.9596507474533669,0.9959219088937094,0.9780163599182005,0.9868879239929496,0.9732693357231582,0.02198364008179959,0.9471999212455121,3627,258,47,11478,0.9951704348321391,0.9802335418795863,6,6.977740132999315,7.272410772175271,137505.98409898224
0.9771576898118105,0.9798615958267514,0.9241573033707865,0.9850299401197605,0.9536231884057971,0.995214894727684,0.9746932515337423,0.9848471803702109,0.969235184388004,0.02530674846625767,0.9393310493519101,3619,297,55,11439,0.9944499363422254,0.9743294627539681,7,10.413322802000039,7.235539974060626,138206.68582925323
0.9783906554185594,0.9802036334469933,0.9297658862876255,0.9836690255851932,0.9559582065864304,0.9947930226503515,0.9767382413087935,0.9856829614342835,0.970820584010357,0.023261758691206544,0.9423126311451039,3614,273,60,11463,0.994659477290075,0.9768189421592784,8,8.155611160000262,14.338503893552852,69742.28325520341
0.9779349730676877,0.9790630344068418,0.9300825593395253,0.9812193794229722,0.9549668874172186,0.9940171681262464,0.9769066893907116,0.9853876568678013,0.9701772721425099,0.023093310609288452,0.9409591059491248,3605,271,69,11464,0.9946638117807072,0.9782947810707033,9,7.950889313000516,7.699263871698973,129882.54678162278
0.9812459441920831,0.9832935449049847,0.9374515378650814,0.9872074033750681,0.9616863316982633,0.9959275626028941,0.9793796864349011,0.9875843106929587,0.974635321195611,0.02062031356509884,0.9498379800843864,3627,242,47,11494,0.9953662692276721,0.9803669932473358,10,10.428379728999062,7.307328098667715,136848.92569451232
0.9805970149253731,0.9824000678694665,0.9361592142672526,0.9858464888405009,0.9603605992310752,0.9954943245819253,0.9789536468984322,0.9871547020664175,0.9737576506487464,0.021046353101567824,0.9480819905173519,3622,247,52,11489,0.9957200884529509,0.9830221463606192,11,6.917852521999521,7.624637832645886,131153.7704411833
0.9779364049318624,0.9807467932697536,0.9261247443762781,0.9861186717474143,0.9551805958344318,0.9955644459906071,0.9753749147920927,0.9853662735646036,0.9702734346995177,0.024625085207907293,0.941381030890548,3623,289,51,11447,0.9943919675985453,0.9760938020213366,12,10.272285119999651,7.313113432828545,136740.66581696967
0.9766385463984426,0.9792403016981468,0.9229198570699336,0.9842133913990201,0.9525816649104321,0.9949530107901149,0.9742672119972734,0.9845014637506457,0.9685415643305388,0.02573278800272665,0.9379570034002548,3616,302,58,11434,0.9938936845587502,0.9721051765418778,13,10.900964213000407,8.13395710579323,122941.39088682583
0.9780647673437601,0.9787743140979148,0.9314536989136057,0.9801306477953184,0.9551724137931035,0.9936758208438015,0.9774179804005113,0.9854798522209812,0.9703261330070423,0.02258201959948871,0.9411995019905036,3601,265,73,11470,0.994586563789955,0.9766409737817021,14,7.4191782350008,8.424110130470801,118706.90013689465
