dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
UNSW,RF,43.6765 ± 1.8966,38.3912 ± 12.5941,27997.7352 ± 6429.6801
UNSW,XGB,5.0395 ± 1.6807,8.4927 ± 2.3381,122486.0916 ± 18701.2930
UNSW,DT,1.9531 ± 0.2763,2.1015 ± 0.3529,487547.6954 ± 74893.0973
