dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E2_CIC,RF,13.8586 ± 0.6716,29.0719 ± 8.7775,37170.1712 ± 9909.4603
E2_CIC,XGB,1.9487 ± 1.2781,7.9993 ± 2.2570,131526.4127 ± 25147.6417
E2_CIC,DT,0.3899 ± 0.0719,1.0292 ± 0.1677,997716.4184 ± 172719.2469
