dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
CIC,RF,0.9779 ± 0.0015,0.9796 ± 0.0016,0.9288 ± 0.0046,0.9827 ± 0.0025,0.9550 ± 0.0030,0.9702 ± 0.0020,0.0236 ± 0.0016,0.9410 ± 0.0039,0.9942 ± 0.0006,0.9734 ± 0.0027
CIC,XGB,0.9790 ± 0.0014,0.9811 ± 0.0016,0.9307 ± 0.0046,0.9851 ± 0.0025,0.9571 ± 0.0028,0.9716 ± 0.0019,0.0230 ± 0.0016,0.9439 ± 0.0037,0.9948 ± 0.0005,0.9781 ± 0.0033
CIC,DT,0.9661 ± 0.0017,0.9520 ± 0.0030,0.9322 ± 0.0044,0.9251 ± 0.0058,0.9286 ± 0.0037,0.9532 ± 0.0024,0.0211 ± 0.0015,0.9064 ± 0.0049,0.9520 ± 0.0030,0.8802 ± 0.0059
