dataset,model,accuracy_mean,accuracy_sd,accuracy,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy,precision_attack_mean,precision_attack_sd,precision_attack,recall_attack_mean,recall_attack_sd,recall_attack,f1_attack_mean,f1_attack_sd,f1_attack,precision_benign_mean,precision_benign_sd,precision_benign,recall_benign_mean,recall_benign_sd,recall_benign,f1_benign_mean,f1_benign_sd,f1_benign,macro_f1_mean,macro_f1_sd,macro_f1,FAR_mean,FAR_sd,FAR,MCC_mean,MCC_sd,MCC,TP_mean,TP_sd,TP,FP_mean,FP_sd,FP,FN_mean,FN_sd,FN,TN_mean,TN_sd,TN,roc_auc_mean,roc_auc_sd,roc_auc,pr_auc_mean,pr_auc_sd,pr_auc,train_time_s_mean,train_time_s_sd,train_time_s,inference_us_per_flow_mean,inference_us_per_flow_sd,inference_us_per_flow,throughput_flows_s_mean,throughput_flows_s_sd,throughput_flows_s
CIC,RF,0.9779101571769938,0.0014961863360843167,0.9779 ± 0.0015,0.9795640771753651,0.0016364049983705333,0.9796 ± 0.0016,0.9287814232222691,0.0046399192350303564,0.9288 ± 0.0046,0.98272545817456,0.0025006710891143937,0.9827 ± 0.0025,0.9549866812730424,0.0029749673253714696,0.9550 ± 0.0030,0.9944921534182783,0.0007956599660317944,0.9945 ± 0.0008,0.97640269617617,0.0016415663103192578,0.9764 ± 0.0016,0.9853637521771509,0.000999328651172884,0.9854 ± 0.0010,0.9701752167250965,0.0019868670955733997,0.9702 ± 0.0020,0.023597303823829786,0.0016415663103192606,0.0236 ± 0.0016,0.9410289072034946,0.0039015049177191894,0.9410 ± 0.0039,3610.5333333333333,9.187465581406213,3610.5333 ± 9.1875,276.93333333333334,19.266798483648596,276.9333 ± 19.2668,63.46666666666667,9.187465581406213,63.4667 ± 9.1875,11458.866666666667,19.20887691617999,11458.8667 ± 19.2089,0.9942329876918454,0.0005775041471394309,0.9942 ± 0.0006,0.9733910388367435,0.002733616521291106,0.9734 ± 0.0027,52.384205910666786,3.144408612363793,52.3842 ± 3.1444,29.22214447007717,6.700137584854719,29.2221 ± 6.7001,35585.392680916164,6606.032923951438,35585.3927 ± 6606.0329
CIC,XGB,0.9789614360654326,0.0014182476160707462,0.9790 ± 0.0014,0.9810831895315636,0.0015540284607463144,0.9811 ± 0.0016,0.9306964665216684,0.004601950693031337,0.9307 ± 0.0046,0.985138813282526,0.002546661403685663,0.9851 ± 0.0025,0.957137690356356,0.00281774380848857,0.9571 ± 0.0028,0.9952612550202101,0.0008083348430565663,0.9953 ± 0.0008,0.9770275657806013,0.0016359637346540531,0.9770 ± 0.0016,0.9860593721814073,0.0009475780758611376,0.9861 ± 0.0009,0.9715985312688815,0.001882314159744852,0.9716 ± 0.0019,0.022972434219398756,0.0016359637346540555,0.0230 ± 0.0016,0.9438870546260038,0.0036880862585850173,0.9439 ± 0.0037,3619.4,9.356433997141067,3619.4000 ± 9.3564,269.6,19.20119043928564,269.6000 ± 19.2012,54.6,9.356433997141066,54.6000 ± 9.3564,11466.2,19.13560630268685,11466.2000 ± 19.1356,0.9948364604434918,0.0005336149161702473,0.9948 ± 0.0005,0.9780883010590001,0.0032820119526731618,0.9781 ± 0.0033,8.909734360933241,1.5837989082035713,8.9097 ± 1.5838,8.392507220754387,2.3161774111054934,8.3925 ± 2.3162,124920.51138970192,22531.545826335965,124920.5114 ± 22531.5458
CIC,DT,0.966099497686606,0.001746176549524522,0.9661 ± 0.0017,0.9520282251609896,0.0029730598765292495,0.9520 ± 0.0030,0.9321869119357056,0.004448822123549035,0.9322 ± 0.0044,0.9251315550716749,0.005834469253423777,0.9251 ± 0.0058,0.92863274917866,0.0037407136923971545,0.9286 ± 0.0037,0.9766200960960683,0.0017775677060881644,0.9766 ± 0.0018,0.9789248952503047,0.0014822478351543445,0.9789 ± 0.0015,0.9777698196085812,0.001140035187366062,0.9778 ± 0.0011,0.9532012843936207,0.0024383799970959445,0.9532 ± 0.0024,0.02107510474969521,0.0014822478351543499,0.0211 ± 0.0015,0.9064255702947094,0.004869964785744024,0.9064 ± 0.0049,3398.9333333333334,21.43584003707898,3398.9333 ± 21.4358,247.33333333333334,17.397317800933184,247.3333 ± 17.3973,275.06666666666666,21.43584003707898,275.0667 ± 21.4358,11488.466666666667,17.315833657034688,11488.4667 ± 17.3158,0.9520282251609896,0.0029730598765292313,0.9520 ± 0.0030,0.8802465228921292,0.005874703333618707,0.8802 ± 0.0059,2.972237036666411,0.5677977038376302,2.9722 ± 0.5678,2.1049767958370014,0.22263458170985378,2.1050 ± 0.2226,479559.4088178972,45741.962522892936,479559.4088 ± 45741.9625
UNSW,RF,0.915582604285533,0.002455969002512664,0.9156 ± 0.0025,0.9153743697854515,0.0024553796942766945,0.9154 ± 0.0025,0.9139859425644131,0.0036128750214244995,0.9140 ± 0.0036,0.9100079295149622,0.0037394019660935704,0.9100 ± 0.0037,0.9119854413053297,0.0025541518014150274,0.9120 ± 0.0026,0.9170709047699543,0.003139555586667673,0.9171 ± 0.0031,0.9207408100559403,0.003674906051053024,0.9207 ± 0.0037,0.9188961267441578,0.002385984692648558,0.9189 ± 0.0024,0.9154407840247436,0.0024586468086469334,0.9154 ± 0.0025,0.07925918994405978,0.003674906051053025,0.0793 ± 0.0037,0.8309027566318764,0.004919663002537605,0.8309 ± 0.0049,5749.066666666667,23.777139881667456,5749.0667 ± 23.7771,541.1333333333333,25.070946949654314,541.1333 ± 25.0709,568.5333333333333,23.60952188862629,568.5333 ± 23.6095,6286.266666666666,25.324935951594842,6286.2667 ± 25.3249,0.980070673287426,0.0008518463826021509,0.9801 ± 0.0009,0.9790254698808634,0.0008630382484049301,0.9790 ± 0.0009,43.6765324399997,1.8965749682129,43.6765 ± 1.8966,38.39116955495271,12.59406344319087,38.3912 ± 12.5941,27997.7352152184,6429.680079183808,27997.7352 ± 6429.6801
UNSW,XGB,0.9192544693799924,0.002011469713641926,0.9193 ± 0.0020,0.9188240756210838,0.0020387229749091527,0.9188 ± 0.0020,0.9230101379083813,0.0034832011126571796,0.9230 ± 0.0035,0.907728615319537,0.004420305413385527,0.9077 ± 0.0044,0.9152941676064431,0.0021729186080624314,0.9153 ± 0.0022,0.9159236419890846,0.003547710932170916,0.9159 ± 0.0035,0.9299195359226309,0.0035879370437018384,0.9299 ± 0.0036,0.922859330478247,0.0019043255472946617,0.9229 ± 0.0019,0.9190767490423449,0.002019501719734756,0.9191 ± 0.0020,0.07008046407736926,0.003587937043701837,0.0701 ± 0.0036,0.8382906590538562,0.0040256938864601365,0.8383 ± 0.0040,5734.666666666667,28.0093521796526,5734.6667 ± 28.0094,478.46666666666664,24.48284141617398,478.4667 ± 24.4828,582.9333333333333,27.916883439101525,582.9333 ± 27.9169,6348.933333333333,24.69374318285813,6348.9333 ± 24.6937,0.9817982424448953,0.0006858644984610987,0.9818 ± 0.0007,0.9811735422245342,0.0008068233021070301,0.9812 ± 0.0008,5.039519701666602,1.6807350096260343,5.0395 ± 1.6807,8.49270264482849,2.3380739545833666,8.4927 ± 2.3381,122486.09155664284,18701.293018562847,122486.0916 ± 18701.2930
UNSW,DT,0.8923342208697858,0.0017229228830359046,0.8923 ± 0.0017,0.8921512929631142,0.0017488709927970482,0.8922 ± 0.0017,0.8884372469896461,0.0030684002674806125,0.8884 ± 0.0031,0.8874361244420872,0.00418866429899949,0.8874 ± 0.0042,0.887925930397332,0.0018888651850302305,0.8879 ± 0.0019,0.895965076431625,0.003246014441143236,0.8960 ± 0.0032,0.8968664614841416,0.003459984954709275,0.8969 ± 0.0035,0.8964066445503313,0.0016496001537501558,0.8964 ± 0.0016,0.8921662874738315,0.001730284900506054,0.8922 ± 0.0017,0.10313353851585823,0.0034599849547092875,0.1031 ± 0.0035,0.7843524208707361,0.0034486570076319337,0.7844 ± 0.0034,5606.466666666666,26.51378796741334,5606.4667 ± 26.5138,704.1333333333333,23.603470285612865,704.1333 ± 23.6035,711.1333333333333,26.457153142032354,711.1333 ± 26.4572,6123.266666666666,23.78915319055745,6123.2667 ± 23.7892,0.8921642961523795,0.00176495473426878,0.8922 ± 0.0018,0.84253734390197,0.0023921350356939475,0.8425 ± 0.0024,1.9531145102669447,0.27630646391655206,1.9531 ± 0.2763,2.1015275313954196,0.35286292161619753,2.1015 ± 0.3529,487547.69541757536,74893.09734831582,487547.6954 ± 74893.0973
