dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E2_UNSW,RF,19.7943 ± 1.0680,41.1841 ± 13.7064,26226.2439 ± 6361.1792
E2_UNSW,XGB,1.9991 ± 1.3416,7.5319 ± 1.2184,135434.4064 ± 17751.1235
E2_UNSW,DT,0.4790 ± 0.0911,1.0296 ± 0.2084,1016227.7102 ± 239928.6633
