dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
E1_CIC,RF,0.9768 ± 0.0011,0.9781 ± 0.0014,0.9265 ± 0.0041,0.9805 ± 0.0030,0.9527 ± 0.0022,0.9687 ± 0.0015,0.0244 ± 0.0015,0.9380 ± 0.0029,0.9940 ± 0.0005,0.9733 ± 0.0027
E1_CIC,XGB,0.9777 ± 0.0015,0.9789 ± 0.0019,0.9292 ± 0.0047,0.9812 ± 0.0034,0.9545 ± 0.0029,0.9698 ± 0.0020,0.0234 ± 0.0017,0.9403 ± 0.0039,0.9944 ± 0.0006,0.9765 ± 0.0026
E1_CIC,DT,0.9653 ± 0.0012,0.9514 ± 0.0019,0.9293 ± 0.0038,0.9247 ± 0.0037,0.9270 ± 0.0026,0.9521 ± 0.0017,0.0220 ± 0.0013,0.9042 ± 0.0034,0.9514 ± 0.0019,0.8773 ± 0.0043
