dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E1_UNSW,RF,25.4998 ± 1.0744,36.9527 ± 9.8406,28516.2305 ± 5908.5672
E1_UNSW,XGB,3.8967 ± 1.5853,9.8489 ± 3.4298,109510.8257 ± 24766.5044
E1_UNSW,DT,1.2363 ± 0.2137,2.7471 ± 0.5624,378104.3398 ± 74668.9383
