accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_benign,recall_benign,f1_benign,macro_f1,FAR,MCC,TP,FP,FN,TN,roc_auc,pr_auc,fold,train_time_s,inference_us_per_flow,throughput_flows_s
0.9776119402985075,0.9804402860017092,0.9251596424010217,0.9858464888405009,0.9545394650151535,0.9954762940408873,0.9750340831629175,0.9851491541474754,0.9698443095813145,0.02496591683708248,0.940543026775067,3622,293,52,11443,0.9940405835475359,0.9722542009752757,0,57.179590206000285,34.2423877351502,29203.570958151628
0.9770927968851395,0.9791645793744357,0.9254419677171407,0.9831246597713663,0.9534116404909595,0.9946119753193708,0.9752044989775052,0.9848126317600998,0.9691121361255297,0.02479550102249489,0.938996550171385,3612,291,62,11445,0.9940143532418338,0.9722971728411427,1,53.622760985999776,32.24855853347177,31009.137942152334
0.9793640493186243,0.9803752552526477,0.9344899016053858,0.982308111050626,0.9578025477707006,0.9943713197090406,0.9784423994546694,0.9863425528259749,0.9720725502983378,0.021557600545330607,0.9446713145673511,3609,253,65,11483,0.9948934743452303,0.9770051055576,2,57.12229014100012,32.50526833222722,30764.24380747394
0.9780012978585334,0.9802284722245415,0.927673762503206,0.9844855743059336,0.9552357057969101,0.9950482147511076,0.9759713701431493,0.9854174732223513,0.9703265895096307,0.024028629856850715,0.9414004094165745,3617,282,57,11454,0.9940376149541408,0.9717946979910645,3,52.24747887800004,25.558130110305854,39126.49304484009
0.9784541501719775,0.9791234434721214,0.9326773692387365,0.9804028307022319,0.9559447983014862,0.9937646141855028,0.9778440562420111,0.9857400566961602,0.9708424274988232,0.022155943757988922,0.9422102454074288,3602,260,72,11475,0.994532509911424,0.9751387131705562,4,49.53137938200052,28.26484522031607,35379.63828230076
0.9787151200519143,0.9799492157161787,0.9320764462809917,0.982308111050626,0.9565332626557116,0.9943664413243196,0.9775903203817314,0.985907020709805,0.9712201416827583,0.022409679618268577,0.9430223086565886,3609,263,65,11473,0.9946778106735034,0.9747061858517758,5,53.69571325099969,22.772952238905404,43911.74185539264
0.9787151200519143,0.9807906032144671,0.9300771208226221,0.9847577572128471,0.9566367001586462,0.9951388888888889,0.9768234492160872,0.9858961128310973,0.9712664064948717,0.023176550783912748,0.9432233705892572,3618,272,56,11464,0.9947724345879723,0.9771533958506472,6,50.07602367199979,25.794282284325263,38768.28162835461
0.9762491888384166,0.9776758529789278,0.9245379876796714,0.9804028307022319,0.9516512549537649,0.9937467430953622,0.9749488752556237,0.9842580645161291,0.967954659734947,0.025051124744376277,0.9366348723494009,3602,294,72,11442,0.9937279303634782,0.9713830800247224,7,49.290374430000156,24.50148494476616,40813.852803383386
0.9780012978585334,0.9799480097251119,0.9283329052144875,0.9836690255851932,0.9552002114444298,0.9947903099765564,0.9762269938650306,0.9854212359695523,0.970310723706991,0.023773006134969327,0.9413300694888991,3614,279,60,11457,0.9937780717612924,0.9712714905170322,8,50.48110205100056,29.711259896187258,33657.27348803295
0.9774806931014343,0.9785778135791785,0.9288476411446249,0.9806750136091453,0.9540579902025685,0.9938421509106679,0.9764806135492118,0.9850848914678701,0.9695714408352194,0.02351938645078824,0.9397647187393756,3603,276,71,11459,0.9941207796283329,0.9730309223768443,9,55.715317932999824,33.156481471815525,30160.015647319036
0.9804023361453602,0.9818983060092865,0.9363354037267081,0.9847577572128471,0.9599363226319979,0.9951498354408453,0.9790388548057259,0.9870286057898806,0.9734824642109392,0.020961145194274028,0.9475032019233487,3618,246,56,11490,0.9946561840067772,0.9746614719899405,10,50.508747658001084,29.971563335499457,33364.95960541244
0.9796885139519792,0.9813361750193608,0.9339013684482314,0.9844855743059336,0.9585265668477541,0.9950593741873971,0.978186775732788,0.9865509388561853,0.9725387528519697,0.021813224267211998,0.9456663371436865,3617,256,57,11480,0.9954032954726353,0.9784114094148477,11,57.198832013000356,48.762333614485286,20507.63213889626
0.9777417261518494,0.9807124689086226,0.9251978555016594,0.9863908546543277,0.9548149123962587,0.995649525798312,0.9750340831629175,0.9852339747729132,0.970024443584586,0.02496591683708248,0.9409174439372979,3624,293,50,11443,0.9938070039508267,0.971474007282566,12,51.227554497998426,24.067085204426117,41550.52394197252
0.9742375081116158,0.9757007179172053,0.9187324303603374,0.9784975503538378,0.9476736522999868,0.9931286422545011,0.9729038854805726,0.9829122369044032,0.965292944602195,0.0270961145194274,0.9314214587217018,3595,318,79,11418,0.9931294109123266,0.96822904854263,13,49.145268276000934,22.829601362666857,43802.77973820845
0.9768966188591083,0.9775399582366815,0.9282395456892101,0.9787697332607512,0.9528351881293058,0.9932379713914175,0.9763101832126119,0.9847013321873657,0.9687682601583357,0.023689816787388154,0.9381282801650571,3596,278,78,11457,0.9939033580203732,0.9720546801645059,14,48.72065528500025,23.945932766609072,41760.74533185151
