dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
E1_CIC,RF,0.9768 ± 0.0011,0.9781 ± 0.0014,0.9265 ± 0.0041,0.9805 ± 0.0030,0.9527 ± 0.0022,0.9687 ± 0.0015,0.0244 ± 0.0015,0.9380 ± 0.0029,0.9940 ± 0.0005,0.9733 ± 0.0027
E1_CIC,XGB,0.9777 ± 0.0015,0.9789 ± 0.0019,0.9292 ± 0.0047,0.9812 ± 0.0034,0.9545 ± 0.0029,0.9698 ± 0.0020,0.0234 ± 0.0017,0.9403 ± 0.0039,0.9944 ± 0.0006,0.9765 ± 0.0026
E1_CIC,DT,0.9653 ± 0.0012,0.9514 ± 0.0019,0.9293 ± 0.0038,0.9247 ± 0.0037,0.9270 ± 0.0026,0.9521 ± 0.0017,0.0220 ± 0.0013,0.9042 ± 0.0034,0.9514 ± 0.0019,0.8773 ± 0.0043
E1_UNSW,RF,0.9379 ± 0.0022,0.8955 ± 0.0044,0.9162 ± 0.0070,0.8143 ± 0.0095,0.8622 ± 0.0053,0.9111 ± 0.0033,0.0233 ± 0.0022,0.8247 ± 0.0064,0.9787 ± 0.0010,0.9467 ± 0.0023
E1_UNSW,XGB,0.9418 ± 0.0020,0.9010 ± 0.0038,0.9251 ± 0.0079,0.8228 ± 0.0084,0.8709 ± 0.0047,0.9167 ± 0.0030,0.0209 ± 0.0025,0.8360 ± 0.0058,0.9797 ± 0.0006,0.9501 ± 0.0014
E1_UNSW,DT,0.9120 ± 0.0027,0.8800 ± 0.0045,0.8135 ± 0.0078,0.8187 ± 0.0097,0.8160 ± 0.0057,0.8791 ± 0.0037,0.0588 ± 0.0032,0.7583 ± 0.0073,0.8800 ± 0.0045,0.7092 ± 0.0077
