dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
E2_UNSW,RF,0.9199 ± 0.0025,0.8733 ± 0.0037,0.8674 ± 0.0082,0.7841 ± 0.0071,0.8236 ± 0.0055,0.8859 ± 0.0035,0.0375 ± 0.0027,0.7737 ± 0.0071,0.9665 ± 0.0011,0.9170 ± 0.0032
E2_UNSW,XGB,0.9236 ± 0.0021,0.8720 ± 0.0039,0.8921 ± 0.0070,0.7733 ± 0.0083,0.8284 ± 0.0051,0.8896 ± 0.0032,0.0293 ± 0.0022,0.7829 ± 0.0062,0.9707 ± 0.0011,0.9270 ± 0.0027
E2_UNSW,DT,0.9019 ± 0.0022,0.8591 ± 0.0035,0.8048 ± 0.0083,0.7773 ± 0.0086,0.7908 ± 0.0044,0.8634 ± 0.0028,0.0590 ± 0.0035,0.7270 ± 0.0057,0.8703 ± 0.0043,0.6956 ± 0.0070
