accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_benign,recall_benign,f1_benign,macro_f1,FAR,MCC,TP,FP,FN,TN,roc_auc,pr_auc,fold,train_time_s,inference_us_per_flow,throughput_flows_s
0.893571700266261,0.8932832652593373,0.8919349697162895,0.8858635428209594,0.8888888888888888,0.8950662203463834,0.9007029876977153,0.8978757573545514,0.8933823231217202,0.09929701230228472,0.7867838302746597,5596,678,721,6150,0.8932832652593373,0.8449824249964798,0,1.725779271000647,1.865778623128031,535969.2664521321
0.8926588056295169,0.8925348500744543,0.8875197472353871,0.8893462086433433,0.8884320392187871,0.8974321349963317,0.8957234915055653,0.8965769991937257,0.8925045192062564,0.10427650849443468,0.785010788979984,5618,712,699,6116,0.8925348500744542,0.8424884348902284,1,1.803191341999991,2.5954548498366674,385288.9215402573
0.893875998478509,0.8938316953062326,0.8872109485606419,0.8926875593542261,0.8899408284023669,0.9001178550383029,0.8949758312582393,0.8975394785163423,0.8937401534593545,0.10502416874176065,0.7874960793360184,5640,717,678,6110,0.8940441776973196,0.8437738026354403,2,2.4454577039996366,2.4945011030257875,400881.763005443
0.8914416127805249,0.8912520454762858,0.8876208590901886,0.8863564419119975,0.8869881998891265,0.8949678174370977,0.8961476490405742,0.8955573446534436,0.891272772271285,0.10385235095942581,0.7825463825970703,5600,709,718,6118,0.8912520454762858,0.8413699955285666,3,2.364735365001252,1.8000992773275732,555524.916094961
0.8895397489539749,0.8895272866107624,0.8819466248037676,0.8892054447610003,0.8855611601513241,0.8966789667896679,0.8898491284605244,0.8932509925011027,0.8894060763262135,0.11015087153947561,0.7788400528723348,5618,752,700,6075,0.8895272866107623,0.8374839279074977,4,1.7059800000006362,1.8739885127259728,533621.200561877
0.895397489539749,0.8952480608810864,0.8909810126582278,0.8914041475383885,0.8911925298725963,0.8994871794871795,0.8990919742237844,0.8992895334358749,0.8952410316542356,0.10090802577621558,0.7904821568304377,5631,689,686,6139,0.8952480608810864,0.8464113134620302,5,1.7608151270014787,1.9286475465808328,518498.05412753177
0.8914416127805249,0.891298044192965,0.8866223908918406,0.8876048757321513,0.8871133612847085,0.8959096906611934,0.8949912126537786,0.8954502161330501,0.8912817887088793,0.10500878734622145,0.7825640843150827,5607,717,710,6111,0.891298044192965,0.8409832897629156,6,1.776202467000985,2.477993990197925,403552.22972922825
0.8936477748193229,0.8934703709128786,0.8897338403041825,0.8888888888888888,0.8893111638954869,0.8972632811356651,0.8980518529368683,0.8976573938506589,0.8934842788730729,0.10194814706313168,0.7869689311279126,5616,696,702,6131,0.8934703709128786,0.8442788609643533,7,1.8292671639992477,1.7403168505196824,574608.0087090959
0.890833016356029,0.8903121151872027,0.8939809585283202,0.8768597657486547,0.8853375948861366,0.8880253310305124,0.9037644646257507,0.8958257713248639,0.8905816831055002,0.09623553537424931,0.7813149543780715,5540,657,778,6170,0.8903030965674392,0.8430819361611371,8,1.7910663050006406,1.8832411563692837,530999.4403095504
0.8918219855458349,0.8916772420995848,0.8870967741935484,0.8879392212725546,0.8875177978168012,0.8962029028001759,0.8954152629266149,0.8958089097303634,0.8916633537735823,0.10458473707338509,0.7833270801171085,5610,714,708,6113,0.8916772420995848,0.8415488024387111,9,2.2776658250004402,2.657640167458552,376273.66271946434
0.892354507417269,0.8920820010425554,0.8902866242038217,0.8850720278613265,0.8876716678574263,0.8942461762563729,0.8990919742237844,0.896662528299131,0.8921670980782787,0.10090802577621558,0.7843483795966598,5591,689,726,6139,0.892073585110208,0.8431979133849037,10,2.445093939999424,2.6225713198615654,381305.16887250403
0.8916698364397109,0.8913163250818247,0.8912521989445067,0.8822225740066487,0.886714399363564,0.8920487521764364,0.9004100761570006,0.8962099125364431,0.8914621559500036,0.09958992384299942,0.7829667293387956,5573,680,744,6148,0.8913163250818248,0.8428822765200371,11,1.9519359969999641,1.893972384887705,527990.802811674
0.8898440471662229,0.889655031070652,0.8858954041204438,0.8847736625514403,0.8853341780171049,0.8934893928310168,0.8945363995898638,0.8940125896647636,0.8896733838409343,0.10546360041013622,0.7793474286505541,5590,720,728,6107,0.889655031070652,0.8391991959702699,12,1.8109766830002627,2.0682652720439534,483496.9737763641
0.8918219855458349,0.8917775481623276,0.8850267379679144,0.8906299461855017,0.8878195014200063,0.8981877118019743,0.8929251501391534,0.8955486998677832,0.8916841006438947,0.10707484986084664,0.7833847545314543,5627,731,691,6096,0.8917775481623275,0.8407988321749363,13,1.8056072639992635,1.7772104981846537,562679.5481016224
0.895093191327501,0.8950035130885676,0.8894496136256111,0.8926875593542261,0.8910656449956552,0.900352733686067,0.8973194668229091,0.8988335411928692,0.8949495930942621,0.10268053317709096,0.7899046801148981,5640,701,678,6126,0.8950035130885676,0.8455791517320427,14,1.8029432000002998,1.8432314187831083,542525.4744519246
