dataset,model,accuracy_mean,accuracy_sd,accuracy,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy,precision_attack_mean,precision_attack_sd,precision_attack,recall_attack_mean,recall_attack_sd,recall_attack,f1_attack_mean,f1_attack_sd,f1_attack,precision_benign_mean,precision_benign_sd,precision_benign,recall_benign_mean,recall_benign_sd,recall_benign,f1_benign_mean,f1_benign_sd,f1_benign,macro_f1_mean,macro_f1_sd,macro_f1,FAR_mean,FAR_sd,FAR,MCC_mean,MCC_sd,MCC,TP_mean,TP_sd,TP,FP_mean,FP_sd,FP,FN_mean,FN_sd,FN,TN_mean,TN_sd,TN,roc_auc_mean,roc_auc_sd,roc_auc,pr_auc_mean,pr_auc_sd,pr_auc,train_time_s_mean,train_time_s_sd,train_time_s,inference_us_per_flow_mean,inference_us_per_flow_sd,inference_us_per_flow,throughput_flows_s_mean,throughput_flows_s_sd,throughput_flows_s
CIC,XGB,0.9789527839559675,0.0013636324885045884,0.9790 ± 0.0014,0.98127071529385,0.0014389427523791984,0.9813 ± 0.0014,0.9302050407869176,0.004396223881978243,0.9302 ± 0.0044,0.9857013246234804,0.0022204584281998426,0.9857 ± 0.0022,0.9571440913851422,0.0027055725210917204,0.9571 ± 0.0027,0.9954387434900995,0.0007057352748235484,0.9954 ± 0.0007,0.9768401059642193,0.001560811446038079,0.9768 ± 0.0016,0.9860511029380689,0.0009114360055484177,0.9861 ± 0.0009,0.9715975971616054,0.0018082410024568177,0.9716 ± 0.0018,0.023159894035780493,0.0015608114460380804,0.0232 ± 0.0016,0.9439111791871346,0.0035387676050981265,0.9439 ± 0.0035,3621.4666666666667,8.157964265206177,3621.4667 ± 8.1580,271.8,18.31938863608718,271.8000 ± 18.3194,52.53333333333333,8.157964265206177,52.5333 ± 8.1580,11464.0,18.2443729093971,11464.0000 ± 18.2444,0.9948612079832891,0.0004805393745916092,0.9949 ± 0.0005,0.9783023103508884,0.0029182932887929316,0.9783 ± 0.0029,8.121911708666707,1.6362339504458874,8.1219 ± 1.6362,7.529189845142974,0.9340883162635318,7.5292 ± 0.9341,134286.01981718914,12768.69941361976,134286.0198 ± 12768.6994
UNSW,XGB,0.9196342818481835,0.002010874195384692,0.9196 ± 0.0020,0.9191727713370744,0.0019779667371789943,0.9192 ± 0.0020,0.9242234138890022,0.0036750074312212476,0.9242 ± 0.0037,0.9072151898734178,0.0026810833934458617,0.9072 ± 0.0027,0.9156340959369117,0.0020345072498158885,0.9156 ± 0.0020,0.915554004705944,0.002190561478017658,0.9156 ± 0.0022,0.9311303528007311,0.003670400235614378,0.9311 ± 0.0037,0.9232714015432139,0.001999487644939445,0.9233 ± 0.0020,0.9194527487400627,0.0020079021317564462,0.9195 ± 0.0020,0.06886964719926884,0.003670400235614365,0.0689 ± 0.0037,0.8390611465686468,0.0040492985564791134,0.8391 ± 0.0040,5733.6,16.944447046577995,5733.6000 ± 16.9444,470.2,25.046242946084462,470.2000 ± 25.0462,586.4,16.944447046577995,586.4000 ± 16.9444,6357.2,25.233764228566002,6357.2000 ± 25.2338,0.9821385899431948,0.0008288578474842664,0.9821 ± 0.0008,0.9816520096804119,0.0008699827166147796,0.9817 ± 0.0009,5.032813558933352,1.5197733254180636,5.0328 ± 1.5198,9.487960456768644,3.2419122253154327,9.4880 ± 3.2419,113889.2922302447,26797.623991361284,113889.2922 ± 26797.6240
