accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_benign,recall_benign,f1_benign,macro_f1,FAR,MCC,TP,FP,FN,TN,roc_auc,pr_auc,fold,train_time_s,inference_us_per_flow,throughput_flows_s
0.9215839375348578,0.8684697996824987,0.8888286334056399,0.7669630322882546,0.8234112032152725,0.930066001966016,0.9699765670767428,0.9496021220159151,0.8865066626155937,0.030023432923257175,0.7768371029456136,1639,205,498,6623,0.968808141981365,0.9249383280795779,0,2.066547894999985,10.87297902957647,91971.11456573392
0.9239263803680982,0.8705419849075021,0.8978142076502732,0.7684752104770813,0.828125,0.9306236860546602,0.9726087593379229,0.9511531299240796,0.8896390649620398,0.027391240662077047,0.7835445379887684,1643,187,495,6640,0.9705426974253304,0.9255110675413244,1,3.8910013310000977,6.508454099289391,153646.31673582556
0.9225878416062465,0.8688599975089281,0.8941048034934498,0.7661365762394762,0.8251889168765743,0.9299032665077808,0.97158341877838,0.9502865329512894,0.8877377249139318,0.028416581221620038,0.77967123154313,1638,194,500,6633,0.9713719928150798,0.9260540486583123,2,1.3027638910000405,7.1620430563363495,139624.96345442763
0.9236947791164659,0.8738774906182949,0.8874666666666666,0.7786616752456715,0.8295114656031904,0.9332769078854564,0.9690933059909184,0.9508479448117275,0.8901797052074589,0.030906694009081588,0.7833997039757383,1664,211,473,6616,0.9713715511622594,0.9307931739396873,3,1.3498936569999387,6.619070838919849,151078.60670111634
0.9242525658188309,0.8724756069499982,0.8944805194805194,0.7735142723444081,0.8296110414052698,0.9319842608206858,0.9714369415555881,0.9513017284658969,0.8904563849355833,0.028563058444411895,0.7846502031676131,1653,195,484,6632,0.9704757918800624,0.9271660881920559,4,1.2681330140001137,6.321306782680715,158195.13818564013
0.9260457334076966,0.8744530695950693,0.9001085776330076,0.7758540009358914,0.8333752199044986,0.9327530534886986,0.9730521382542472,0.9524765249802881,0.8929258724423934,0.026947861745752782,0.7897690729846025,1658,184,479,6644,0.9710560016162906,0.928661938555709,5,1.338102137000078,7.534879308420325,132716.1271027244
0.920914668153932,0.8659945454019786,0.8915068493150685,0.7609915809167446,0.8210951299520565,0.9284313725490196,0.9709975098872126,0.9492374883654328,0.8851663091587446,0.029002490112787462,0.7747166149875109,1627,198,511,6629,0.9682402029141157,0.9208815517568903,6,1.2600716930001,6.39154545455068,156456.6828337293
0.920914668153932,0.8643882972783326,0.8958448753462603,0.7563143124415341,0.8201876743596247,0.9272346368715084,0.9724622821151311,0.9493100736398083,0.8847488739997165,0.027537717884868904,0.7744940825877411,1617,188,521,6639,0.9674229655183848,0.9210192770458648,7,1.265968884999893,6.367984383702118,157035.56097897273
0.9211289602855868,0.8710678628219217,0.8795116772823779,0.7753860552175947,0.8241730912708282,0.9322033898305084,0.9667496704262487,0.9491622923707486,0.8866676918207883,0.033250329573751285,0.7761460882771124,1657,227,480,6600,0.9702790723529623,0.9222091301972449,8,3.553554608000013,11.996625390464029,83356.77471390311
0.927710843373494,0.8784428916015773,0.8996242619431025,0.7842770238652317,0.838,0.9350795662582735,0.9726087593379229,0.9534750143595635,0.8957375071797817,0.027391240662077047,0.7948430415817137,1676,187,461,6640,0.9725120446157145,0.9324990356674299,9,2.446614590000081,6.3823671352115445,156681.67919751845
0.9222532069157836,0.8681054421237224,0.8938730853391685,0.7646233036967712,0.8242118537200505,0.9295222082107328,0.9715875805506737,0.9500895094880057,0.8871506816040281,0.028412419449326303,0.7785836995144179,1634,194,503,6634,0.9686478424741747,0.9220825678653617,10,1.309164102000068,7.912910317892409,126375.75301957274
0.9193530395984384,0.8670573274031754,0.8793565683646113,0.7670720299345183,0.8193854609043217,0.9298591549295775,0.9670426248718325,0.9480864507790623,0.883735955841692,0.03295737512816757,0.7707510112675718,1640,225,498,6602,0.9693671115198649,0.9233939937184589,11,1.3039724220000153,6.632708867814323,150767.96222016754
0.9215839375348578,0.870449597379469,0.8838951310861424,0.7726847521047708,0.8245570252058897,0.931510710259301,0.9682144426541672,0.9495080083315377,0.8870325167687136,0.03178555734583272,0.7772602725307485,1652,217,486,6610,0.9689398063568375,0.9247253931483479,12,1.2714363580000736,6.382546346894037,156677.2798268255
0.926483712628291,0.8765121271419551,0.8973118279569893,0.7810014038371549,0.835126344758569,0.9341216216216216,0.9720228504467555,0.9526954274639293,0.8939108861112491,0.02797714955324447,0.7912582090289064,1669,191,468,6636,0.972417934542297,0.9310978185733618,13,1.338463493000063,6.45637594823728,154885.65226332893
0.9195671575189648,0.864256089343292,0.8877327491785323,0.7585400093589144,0.8180671208680292,0.927710843373494,0.9699721693276695,0.9483709273182958,0.8832190240931626,0.030027830672330454,0.770753260263031,1621,205,516,6622,0.9691827208421735,0.923424008282226,14,1.2711438619999171,6.411009370828778,155981.67810363468
