metric,baseline_gap,no_window_gap,no_window_change,swapped_gap,swapped_change
accuracy,0.05419834633819409,0.05315720256415535,-0.0010411437740387441,0.05428758806268841,8.924172449431556e-05
balanced_accuracy,0.10757323377215411,0.10670737115566298,-0.0008658626164911309,0.10763184726342945,5.861349127533888e-05
recall_attack,0.20960000782098243,0.20906936292116018,-0.0005306448998222413,0.2096000515951374,4.377415496747972e-08
macro_f1,0.08054785032763379,0.07922725356459248,-0.001320596763041304,0.08066483457181917,0.00011698424418538078
MCC,0.15803357376340255,0.15535471720282013,-0.002678856560582421,0.15825737736240875,0.0002238035990062004
FAR,-0.0055464597233259375,-0.00434537939016565,0.0012010803331602878,-0.0056636429317217275,-0.00011718320839579008
