dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E2_UNSW,RF,19.7160 ± 1.0602,40.3182 ± 11.1755,26313.2627 ± 5897.4933
E2_UNSW,XGB,1.9827 ± 1.3373,7.9101 ± 1.5527,130247.0415 ± 20973.8634
E2_UNSW,AdaBoost,5.2142 ± 0.6842,9.7864 ± 2.5484,107778.2042 ± 23233.6306
E2_UNSW,DT,0.4287 ± 0.0527,0.9074 ± 0.1744,1134583.2060 ± 183042.6683
E2_UNSW,KNN,0.1015 ± 0.0292,65.2853 ± 22.1161,16395.1065 ± 3456.1005
