dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E2_CIC,RF,13.9651 ± 0.5330,26.0228 ± 6.9044,40365.8170 ± 7856.3631
E2_CIC,XGB,1.8451 ± 1.1718,7.5702 ± 2.6763,141297.1762 ± 28123.0621
E2_CIC,AdaBoost,4.8145 ± 0.6130,9.7189 ± 2.2547,107823.3059 ± 22943.3100
E2_CIC,DT,0.2915 ± 0.0229,0.7065 ± 0.0837,1433044.4081 ± 159300.1610
E2_CIC,KNN,0.0992 ± 0.0265,36.4737 ± 10.7334,29340.6284 ± 7124.8129
