dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
UNSW,RF,0.9167 ± 0.0023,0.9164 ± 0.0023,0.9162 ± 0.0029,0.9098 ± 0.0036,0.9130 ± 0.0024,0.9165 ± 0.0023,0.0770 ± 0.0029,0.8331 ± 0.0046,0.9807 ± 0.0008,0.9797 ± 0.0008
UNSW,XGB,0.9196 ± 0.0020,0.9192 ± 0.0020,0.9242 ± 0.0037,0.9072 ± 0.0027,0.9156 ± 0.0020,0.9195 ± 0.0020,0.0689 ± 0.0037,0.8391 ± 0.0040,0.9821 ± 0.0008,0.9817 ± 0.0009
UNSW,AdaBoost,0.8863 ± 0.0034,0.8865 ± 0.0033,0.8746 ± 0.0110,0.8915 ± 0.0119,0.8829 ± 0.0033,0.8862 ± 0.0033,0.1186 ± 0.0129,0.7727 ± 0.0067,0.9650 ± 0.0015,0.9616 ± 0.0018
UNSW,DT,0.8937 ± 0.0023,0.8935 ± 0.0023,0.8901 ± 0.0036,0.8885 ± 0.0042,0.8893 ± 0.0024,0.8935 ± 0.0023,0.1016 ± 0.0039,0.7870 ± 0.0046,0.8935 ± 0.0023,0.8444 ± 0.0032
UNSW,KNN,0.8694 ± 0.0032,0.8691 ± 0.0033,0.8671 ± 0.0040,0.8602 ± 0.0044,0.8636 ± 0.0034,0.8692 ± 0.0033,0.1221 ± 0.0040,0.7384 ± 0.0065,0.9507 ± 0.0018,0.9308 ± 0.0026
