dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E1_UNSW,RF,25.0557 ± 1.4708,40.2430 ± 12.9079,26807.1232 ± 6643.3001
E1_UNSW,XGB,4.6848 ± 1.8236,9.2413 ± 0.3177,108328.2232 ± 3700.8116
E1_UNSW,AdaBoost,15.9844 ± 0.6802,18.8652 ± 5.5004,56477.7453 ± 12874.7757
E1_UNSW,DT,1.2491 ± 0.2066,3.1764 ± 0.6685,326644.4138 ± 61141.0869
E1_UNSW,KNN,0.1846 ± 0.0476,359.7911 ± 80.1560,2883.1316 ± 502.6284
