dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
CIC,RF,50.1041 ± 2.7136,37.9994 ± 16.3612,30526.1850 ± 10865.9869
CIC,XGB,9.7673 ± 1.9345,8.8669 ± 2.6125,117851.4358 ± 18763.3701
CIC,AdaBoost,34.7100 ± 0.6305,20.3550 ± 4.3033,51057.0343 ± 9969.1313
CIC,DT,2.1279 ± 0.2694,2.1339 ± 0.2556,473956.2825 ± 47849.0039
CIC,KNN,0.1431 ± 0.0268,700.3772 ± 64.0290,1439.6582 ± 139.2743
