accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_benign,recall_benign,f1_benign,macro_f1,FAR,MCC,TP,FP,FN,TN,roc_auc,pr_auc,fold,train_time_s,inference_us_per_flow,throughput_flows_s
0.9021751254880089,0.8444759994835327,0.8354632587859425,0.7342068320074872,0.7815691158156911,0.9198532524340342,0.9547451669595782,0.9369744879626303,0.8592718018891607,0.04525483304042179,0.7213714856146123,1569,309,568,6519,0.9280943972889302,0.8334726523060254,0,0.08499681899957068,53.99308644730013,18520.889724947443
0.9021751254880089,0.8401979744488366,0.8454794520547945,0.7217025257249766,0.778703002775675,0.9166666666666666,0.9586934231726967,0.9372091358201475,0.8579560692979112,0.041306576827303355,0.7201118882827635,1543,282,595,6545,0.9255789515656415,0.8332153848345385,1,0.08290068099995551,51.84467640833379,19288.38348076283
0.9050752928053541,0.8482059212149854,0.8432,0.7394761459307764,0.7879391976077748,0.9214386459802539,0.9569356964991944,0.9388517640296041,0.8633954808186894,0.043064303500805624,0.7297283112503358,1581,294,557,6533,0.9321117808930944,0.8434264280198012,2,0.084442063998722,53.54775192425723,18674.920310650767
0.9047300312360553,0.847282312878775,0.8432316746923488,0.7374824520355638,0.7868197703444832,0.9209302325581395,0.9570821737219862,0.9386582387587991,0.8627390045516412,0.04291782627801377,0.7285326548121307,1576,293,561,6534,0.9349338854457641,0.84508975290574,3,0.08689474199854885,61.3550390451058,16298.57979985702
0.9109772423025435,0.8586167162658056,0.8518129269574356,0.7585400093589144,0.8024752475247525,0.9269225322192324,0.9586934231726967,0.9425403225806451,0.8725077850526988,0.041306576827303355,0.7473520632334949,1621,282,516,6545,0.9355099926322712,0.849061139894145,4,0.16725365099955525,118.78173371262763,8418.802864246209
0.9076408254322365,0.8525650251284383,0.8472148541114058,0.7473093121197941,0.7941322725012432,0.923728813559322,0.9578207381370826,0.9404659188955996,0.8672990956984215,0.0421792618629174,0.7373028869670057,1597,288,540,6540,0.9327864646084183,0.8462422276568345,5,0.1535071580001386,118.6947156718905,8424.97489748671
0.8979364194088121,0.8393424049641665,0.8240593534711181,0.7273152478952292,0.7726708074534161,0.9176320994631252,0.9513695620331039,0.9341963322545846,0.8534335698540003,0.048630437966896145,0.7094890575337622,1555,332,583,6495,0.9292743841756368,0.8287127029018952,6,0.15008595200015407,69.0423832683693,14483.85691022538
0.9015058561070831,0.8389554187186381,0.8445908841295992,0.7193638914873713,0.776963879767618,0.916013437849944,0.9585469459499047,0.9367976522797223,0.8568807660236701,0.04145305405009521,0.7180681812137089,1538,283,600,6544,0.924061699659211,0.8291621612551696,7,0.08993492499939748,56.05140791952744,17840.765060454716
0.9026104417670683,0.8473373874920241,0.8315844700944386,0.741693963500234,0.784071234232006,0.9217908756021536,0.9529808114838143,0.9371263953907094,0.8605988148113577,0.047019188516185736,0.7234299197229195,1585,321,552,6506,0.9332082713501176,0.8451601501732813,8,0.09396043099877716,56.17426070966271,17801.747408274958
0.9086345381526104,0.8551498944534621,0.8468421052631578,0.7529246607393543,0.797126579142928,0.9252548131370328,0.95737512816757,0.9410409617738104,0.8690837704583692,0.04262487183243006,0.7405540345952766,1609,291,528,6536,0.9380415741702188,0.8517437922308129,9,0.08929605100092886,60.028603748280766,16658.72496707272
0.9046291132180703,0.8456047780355546,0.8464864864864865,0.7328029948525971,0.7855530474040632,0.9197470133520731,0.958406561218512,0.938678906978412,0.8621159771912377,0.04159343878148799,0.7277553965929919,1566,284,571,6544,0.925725747623469,0.8405881826152816,10,0.08702153299964266,57.29314679291383,17454.094529220074
0.9041829336307864,0.8493868852598285,0.8356955380577428,0.744621141253508,0.7875340093989611,0.9226628895184136,0.9541526292661491,0.9381435875279038,0.8628387984634325,0.04584737073385089,0.7279567142644877,1592,313,546,6514,0.9313435290980634,0.8403557971402407,11,0.0922169280001981,57.221862911440205,17475.83788992778
0.9034021193530396,0.845340469108036,0.8404710920770878,0.7343311506080449,0.7838242636045931,0.9199661828941806,0.9563497876080269,0.9378052283826487,0.8608147459936208,0.043650212391973045,0.7247203119353208,1570,298,568,6529,0.9283809964369998,0.8376750959783454,12,0.08297911800036673,58.61012593433544,17061.89816279122
0.9071842927264614,0.8501794363115047,0.8502415458937198,0.7412260177819373,0.792,0.9221236445571046,0.9591328548410722,0.9402642159678346,0.8661321079839173,0.04086714515892779,0.7354813485312836,1584,279,553,6548,0.9396360990339563,0.8447347790131896,13,0.09580895699946268,54.3414526997052,18402.158027060344
0.9008255243195002,0.8432723532501458,0.8308589607635207,0.7332709405708938,0.7790206313696246,0.919468776490534,0.9532737659293979,0.9360661632506293,0.857543397310127,0.04672623407060202,0.7177280377358217,1567,319,570,6508,0.9320100643629279,0.8419867106360827,14,0.08162339699993026,52.29862159753016,19120.96283713959
