dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
UNSW,RF,43.9153 ± 1.4046,41.4614 ± 12.7142,25799.8906 ± 5965.3947
UNSW,XGB,5.3230 ± 1.7467,10.4573 ± 3.0855,101993.1796 ± 23522.1357
UNSW,AdaBoost,25.1313 ± 0.8037,17.3609 ± 2.8621,58928.5461 ± 8777.0692
UNSW,DT,2.1110 ± 0.3039,2.7819 ± 0.5226,370490.1792 ± 63951.2957
UNSW,KNN,0.2676 ± 0.0711,539.9277 ± 79.8424,1889.4316 ± 271.5867
