dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
CIC,RF,0.9779 ± 0.0015,0.9797 ± 0.0016,0.9287 ± 0.0048,0.9829 ± 0.0024,0.9550 ± 0.0030,0.9702 ± 0.0020,0.0236 ± 0.0017,0.9411 ± 0.0040,0.9943 ± 0.0006,0.9734 ± 0.0030
CIC,XGB,0.9790 ± 0.0014,0.9813 ± 0.0014,0.9302 ± 0.0044,0.9857 ± 0.0022,0.9571 ± 0.0027,0.9716 ± 0.0018,0.0232 ± 0.0016,0.9439 ± 0.0035,0.9949 ± 0.0005,0.9783 ± 0.0029
CIC,AdaBoost,0.9713 ± 0.0012,0.9772 ± 0.0011,0.9008 ± 0.0042,0.9884 ± 0.0016,0.9426 ± 0.0024,0.9617 ± 0.0016,0.0341 ± 0.0016,0.9252 ± 0.0030,0.9918 ± 0.0008,0.9610 ± 0.0043
CIC,DT,0.9660 ± 0.0012,0.9519 ± 0.0019,0.9317 ± 0.0057,0.9251 ± 0.0047,0.9284 ± 0.0025,0.9530 ± 0.0017,0.0212 ± 0.0020,0.9061 ± 0.0033,0.9519 ± 0.0019,0.8798 ± 0.0045
CIC,KNN,0.9747 ± 0.0015,0.9743 ± 0.0016,0.9242 ± 0.0055,0.9736 ± 0.0028,0.9483 ± 0.0030,0.9657 ± 0.0020,0.0250 ± 0.0020,0.9321 ± 0.0039,0.9904 ± 0.0006,0.9475 ± 0.0040
