dataset,model,train_time_s,inference_us_per_flow,throughput_flows_s
E1_CIC,RF,26.4073 ± 1.0311,38.7653 ± 17.1144,29460.6588 ± 9143.0205
E1_CIC,XGB,6.7863 ± 1.8343,9.2579 ± 1.6859,110646.7289 ± 15653.7319
E1_CIC,AdaBoost,19.0024 ± 0.4602,20.0026 ± 5.1246,52651.3960 ± 11233.9772
E1_CIC,DT,1.1503 ± 0.2087,2.1467 ± 0.3674,477660.7641 ± 76396.3535
E1_CIC,KNN,0.0725 ± 0.0153,409.7326 ± 100.4778,2561.9067 ± 533.9375
